BONEID,MEASURE,MEASTYPE,SPECIES,ELEMENT,SIDE,COMMENTS,CONTEXT,PERIOD,CDATE,RANGE,PHASE,SITECODE,SITE,COUNTY,GRIDREF,REFERENCE
ABMAP8480,63.3,Bd,Aurochs,Astragalus,Right,,022192,Early Neolithic,,-4000 -- -3000,,W2AMY,Coneybury Anomaly; Amesbury,Wiltshire,,Maltby; M. (1990) 4.1 d Animal bones.  In J. Richards; The Stonehenge Environs Project.  London; English Heritage; 57-61.
ABMAP8480,92.4,GLl,Aurochs,Astragalus,Right,,022192,Early Neolithic,,-4000 -- -3000,,W2AMY,Coneybury Anomaly; Amesbury,Wiltshire,,Maltby; M. (1990) 4.1 d Animal bones.  In J. Richards; The Stonehenge Environs Project.  London; English Heritage; 57-61.
ABMAP8480,83.8,GLm,Aurochs,Astragalus,Right,,022192,Early Neolithic,,-4000 -- -3000,,W2AMY,Coneybury Anomaly; Amesbury,Wiltshire,,Maltby; M. (1990) 4.1 d Animal bones.  In J. Richards; The Stonehenge Environs Project.  London; English Heritage; 57-61.
