Code,Measurement,Reference
LFo,Inner length of foramen obturatum,Driesch 1976 p83
LG,Length of glenoid cavity,Driesch 1976 p75
LS,Length of symphysis,Driesch 1976 p83
LV,Length along the vertebrae,Von den Driesch 1976 p. 123
La,Axial length: tuberculum centrale - distal border of trochlea tibiotarsi,Driesch 1976 p127
Ld,Greatest dorsal length,Driesch 1976 p75
Ll,Lateral length,Driesch 1976 p93
Lm,Medial length,"Driesch 1976 p113, 125"
LmT,Length medial part of trochlea tali,Driesch 1976 p89
Lo,Ulna,Von den Driesch 1976 p. 79
SB,Smallest breadth of illium shaft,Driesch 1976 p83
SC,Smallest breadth of corpus,"Driesch 1976 p117, 119, 125, 127, 129"
SD,Smallest breadth of diaphysis,"Driesch 1976 pp77, 79, 85, 87, 93, 97"
SDO,Smallest depth of the olecranon,Von den Driesch 1976 p. 79
SH,Smallest height of illium shaft,Driesch 1976 p83
SLC,Smallest length of neck of scapula,Driesch 1976 p75
TD,Smallest depth of diaphysis,Driesch 1976 p93
