,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
86,ABMAP28085,85.7,GLP,Roman - Saxon,800 -- 1066,1710.0,Scapula
90,ABMAP18516,72.6,GLP,Bronze - Iron Age,-1000 -- -400,1741.0,Scapula
94,ABMAP27806,86.8,GLP,Roman - Saxon,950 -- 980,1804.0,Scapula
99,ABMAP1359,92.2,GLP,Roman - Saxon,43 -- 410,1859.0,Scapula
103,ABMAP1144,93.4,GLP,Roman - Saxon,43 -- 410,1881.0,Scapula
107,ABMAP1161,81.3,GLP,Roman - Saxon,43 -- 410,1885.0,Scapula
111,ABMAP1162,88.7,GLP,Roman - Saxon,43 -- 410,1889.0,Scapula
115,ABMAP1163,72.2,GLP,Roman - Saxon,43 -- 410,1893.0,Scapula
123,ABMAP8944,77.0,GLP,Bronze - Iron Age,-299 -- -100,1998.0,Scapula
126,ABMAP8977,78.5,GLP,Bronze - Iron Age,-299 -- -100,2006.0,Scapula
129,J_GRIMM_08WA57960-216,84.5,GLP,Medieval,1050 -- 1225,2064.0,Scapula
132,J_GRIMM_08WA58720-32,89.6,GLP,Medieval,1075 -- 1125,2114.0,Scapula
138,J_GRIMM_08WA59480-214,74.7,GLP,Roman - Saxon,43 -- 410,2144.0,Scapula
140,J_GRIMM_08WA59480-1250,76.6,GLP,Bronze - Iron Age,-100 -- 43,2165.0,Scapula
143,J_GRIMM_08WA59480-1138,92.1,GLP,Bronze - Iron Age,100 -- 150,2235.0,Scapula
149,ABMAP14061,103.6,GLP,Medieval,1300 -- 1499,2439.0,Scapula
153,ABMAP14076,96.0,GLP,Medieval,1300 -- 1499,2452.0,Scapula
157,ABMAP14082,89.7,GLP,Medieval,1300 -- 1499,2456.0,Scapula
160,ABMAP10071,87.6,GLP,Roman - Saxon,650 -- 950,2490.0,Scapula
164,ABMAP15708,74.0,GLP,Bronze - Iron Age,-400 -- -100,2529.0,Scapula
170,ABMAP15785,82.6,GLP,Bronze - Iron Age,-400 -- -100,2643.0,Scapula
177,ABMAP16233,85.3,GLP,Bronze - Iron Age,-400 -- -100,2676.0,Scapula
183,ABMAP16114,88.3,GLP,Bronze - Iron Age,-400 -- -100,2726.0,Scapula
187,ABMAP334,72.4,GLP,Bronze - Iron Age,-199 -- 0,2780.0,Scapula
193,ABMAP14381,77.0,GLP,Roman - Saxon,43 -- 410,3006.0,Scapula
195,ABMAP10859,85.7,GLP,Roman - Saxon,43 -- 410,3045.0,Scapula
197,ABMAP10839,84.0,GLP,Roman - Saxon,200 -- 410,3049.0,Scapula
1,ABMAP14549,54.5,LG,Medieval,1600 -- 1650,56.0,Scapula
3,ABMAP15381,50.0,LG,Roman - Saxon,43 -- 410,89.0,Scapula
7,ABMAP3086,52.7,LG,Roman - Saxon,800 -- 999,124.0,Scapula
10,ABMAP58,56.0,LG,Roman - Saxon,775 -- 800,174.0,Scapula
17,ABMAP17096,51.3,LG,Bronze - Iron Age,-99 -- 99,230.0,Scapula
21,ABMAP2962,55.3,LG,Roman - Saxon,900 -- 999,584.0,Scapula
25,ABMAP2963,56.9,LG,Roman - Saxon,900 -- 999,668.0,Scapula
29,ABMAP475,55.1,LG,Bronze - Iron Age,-100 -- -43,769.0,Scapula
33,ABMAP521,52.5,LG,Bronze - Iron Age,-100 -- -43,821.0,Scapula
38,ABMAP21043,49.9,LG,Medieval,1066 -- 1540,900.0,Scapula
55,ABMAP18119,63.6,LG,Medieval,1600 -- 1799,1357.0,Scapula
62,ABMAP16614,53.3,LG,Medieval,1167 -- 1399,1392.0,Scapula
71,ABMAP3274,57.4,LG,Roman - Saxon,400 -- 1066,1611.0,Scapula
75,ABMAP1926,59.6,LG,Roman - Saxon,43 -- 410,1652.0,Scapula
79,ABMAP13142,57.1,LG,Roman - Saxon,650 -- 850,1688.0,Scapula
82,ABMAP28118,49.7,LG,Roman - Saxon,800 -- 1066,1702.0,Scapula
87,ABMAP28085,49.5,LG,Roman - Saxon,800 -- 1066,1711.0,Scapula
91,ABMAP18516,46.1,LG,Bronze - Iron Age,-1000 -- -400,1742.0,Scapula
95,ABMAP27806,51.6,LG,Roman - Saxon,950 -- 980,1805.0,Scapula
98,ABMAP1014,51.3,LG,Roman - Saxon,43 -- 410,1853.0,Scapula
100,ABMAP1359,58.8,LG,Roman - Saxon,43 -- 410,1860.0,Scapula
104,ABMAP1144,59.4,LG,Roman - Saxon,43 -- 410,1882.0,Scapula
108,ABMAP1161,52.5,LG,Roman - Saxon,43 -- 410,1886.0,Scapula
112,ABMAP1162,57.2,LG,Roman - Saxon,43 -- 410,1890.0,Scapula
116,ABMAP1163,46.6,LG,Roman - Saxon,43 -- 410,1894.0,Scapula
121,ABMAP8943,46.5,LG,Bronze - Iron Age,-299 -- -100,1996.0,Scapula
124,ABMAP8944,46.5,LG,Bronze - Iron Age,-299 -- -100,1999.0,Scapula
127,ABMAP8977,47.5,LG,Bronze - Iron Age,-299 -- -100,2007.0,Scapula
133,J_GRIMM_08WA58720-32,56.9,LG,Medieval,1075 -- 1125,2115.0,Scapula
139,J_GRIMM_08WA59480-214,49.5,LG,Roman - Saxon,43 -- 410,2145.0,Scapula
141,J_GRIMM_08WA59480-1250,47.3,LG,Bronze - Iron Age,-100 -- 43,2166.0,Scapula
146,J_GRIMM_08WA63661-186,47.3,LG,Bronze - Iron Age,-700 -- -100,2353.0,Scapula
